Time,Open,High,Low,Last,Change,Volume,Open Int
6/19/2020 5:10,10072.75,10074.75,10067,10068,-4.25,410,N/A
6/19/2020 5:05,10066,10075.75,10065.5,10072.25,7.5,618,N/A
6/19/2020 5:00,10060.25,10068,10057,10064.75,4.25,630,N/A
6/19/2020 4:55,10062.25,10062.75,10057.5,10060.5,-1.75,677,N/A
6/19/2020 4:50,10058.75,10074.25,10058,10062.25,2.75,1331,N/A
6/19/2020 4:45,10060.75,10063,10056.75,10059.5,-0.25,625,N/A
6/19/2020 4:40,10066.25,10069.75,10059.5,10059.75,-7,452,N/A
6/19/2020 4:35,10063.75,10069.75,10063.25,10066.75,3.75,347,N/A
6/19/2020 4:30,10061,10064,10058.75,10063,3,328,N/A
6/19/2020 4:25,10059.75,10064.5,10058,10060,0.75,399,N/A
6/19/2020 4:20,10064,10065.25,10058.25,10059.25,-5,505,N/A
6/19/2020 4:15,10065.75,10069.75,10063.5,10064.25,-1.25,788,N/A
6/19/2020 4:10,10053.75,10066.5,10052.25,10065.5,11.5,542,N/A
6/19/2020 4:05,10058.5,10060,10052.25,10054,-4.5,311,N/A
6/19/2020 4:00,10059,10063,10055.5,10058.5,0.5,428,N/A
6/19/2020 3:55,10054.75,10060.5,10053.5,10058,3,345,N/A
6/19/2020 3:50,10056.5,10058,10053.5,10055,-1.75,316,N/A
6/19/2020 3:45,10053.5,10057.5,10050.75,10056.75,3.25,462,N/A
6/19/2020 3:40,10046,10058.5,10043.5,10053.5,7.5,607,N/A
6/19/2020 3:35,10053.5,10054,10041.25,10046,-8.75,828,N/A
6/19/2020 3:30,10050.75,10054.75,10047.5,10054.75,4.25,485,N/A
6/19/2020 3:25,10049.75,10052.25,10046.25,10050.5,0,378,N/A
6/19/2020 3:20,10047,10050.75,10043.25,10050.5,2.75,401,N/A
6/19/2020 3:15,10042.75,10048.75,10041.5,10047.75,4.5,377,N/A
6/19/2020 3:10,10046.75,10050.25,10041.75,10043.25,-4.5,454,N/A
6/19/2020 3:05,10059.75,10060.5,10045.75,10047.75,-13,1023,N/A
6/19/2020 3:00,10065.75,10066,10060.25,10060.75,-5.25,497,N/A
6/19/2020 2:55,10057.75,10071.25,10057.25,10066,7.75,933,N/A
6/19/2020 2:50,10061.5,10061.5,10056,10058.25,-2.75,339,N/A
6/19/2020 2:45,10057.75,10061.25,10052.75,10061,3.75,373,N/A
6/19/2020 2:40,10049.5,10059.25,10048.75,10057.25,8,353,N/A
6/19/2020 2:35,10052,10053.25,10046,10049.25,-3,399,N/A
6/19/2020 2:30,10054,10054,10046,10052.25,-2.25,523,N/A
6/19/2020 2:25,10055,10059,10050.75,10054.5,-1,432,N/A
6/19/2020 2:20,10054,10058.25,10052.5,10055.5,1.25,406,N/A
6/19/2020 2:15,10052,10058,10049.25,10054.25,2.75,501,N/A
6/19/2020 2:10,10045.75,10055.75,10041,10051.5,5,829,N/A
6/19/2020 2:05,10048.25,10050.5,10044.5,10046.5,-0.75,415,N/A
6/19/2020 2:00,10055,10055.5,10044.5,10047.25,-7.5,911,N/A
6/19/2020 1:55,10047,10055,10046.75,10054.75,8,474,N/A
6/19/2020 1:50,10051.25,10052.5,10046.75,10046.75,-4.75,556,N/A
6/19/2020 1:45,10062.25,10062.5,10049.75,10051.5,-10.25,709,N/A
6/19/2020 1:40,10062.5,10066,10060.25,10061.75,-0.75,313,N/A
6/19/2020 1:35,10071.5,10073,10059.75,10062.5,-9.75,1210,N/A
6/19/2020 1:30,10054.25,10077,10049,10072.25,17.25,1138,N/A
6/19/2020 1:25,10054.5,10057.75,10054,10055,1.25,383,N/A
6/19/2020 1:20,10041.5,10060.5,10039,10053.75,12.25,1595,N/A
6/19/2020 1:15,10037.5,10041.5,10035.75,10041.5,5,592,N/A
6/19/2020 1:10,10036.5,10038.75,10035.75,10036.5,0,660,N/A
6/19/2020 1:05,10032.5,10038,10030.5,10036.5,4.75,616,N/A
6/19/2020 1:00,10023.75,10036.5,10021.5,10031.75,7.75,1239,N/A
6/19/2020 0:55,10023.5,10024,10020.75,10024,0.75,280,N/A
6/19/2020 0:50,10019,10023.75,10018.25,10023.25,4.75,367,N/A
6/19/2020 0:45,10019.75,10020.5,10016.25,10018.5,-1.5,326,N/A
6/19/2020 0:40,10017.5,10021.25,10016.75,10020,1.75,327,N/A
6/19/2020 0:35,10012,10019.5,10012,10018.25,6.25,416,N/A
6/19/2020 0:30,10012.5,10015,10009.25,10012,-0.25,241,N/A
6/19/2020 0:25,10012,10013.5,10010,10012.25,0.25,172,N/A
6/19/2020 0:20,10007.75,10014.5,10005.5,10012,4.25,253,N/A
6/19/2020 0:15,10010.75,10013,10007.25,10007.75,-2.5,248,N/A
6/19/2020 0:10,10006.5,10011,10005.25,10010.25,4,152,N/A
6/19/2020 0:05,10008.5,10011.75,10005.25,10006.25,-2,252,N/A
6/19/2020 0:00,10006.75,10009.75,10003.75,10008.25,1.75,270,N/A
6/18/2020 23:55,10010,10010,10003.25,10006.5,-4.25,333,N/A
6/18/2020 23:50,10013,10013,10008.25,10010.75,-2.25,193,N/A
6/18/2020 23:45,10013,10016.25,10012,10013,-0.5,99,N/A
6/18/2020 23:40,10013.75,10015,10010.75,10013.5,-0.25,159,N/A
6/18/2020 23:35,10015.5,10016,10009.75,10013.75,-2,230,N/A
6/18/2020 23:30,10013.5,10016.75,10013,10015.75,1.5,150,N/A
6/18/2020 23:25,10015.25,10016.25,10012.25,10014.25,-1,300,N/A
6/18/2020 23:20,10017,10018,10015,10015.25,-1,198,N/A
6/18/2020 23:15,10012.5,10017.5,10012.25,10016.25,3.25,179,N/A
6/18/2020 23:10,10013.25,10018,10013,10013,-1.25,250,N/A
6/18/2020 23:05,10017.25,10017.75,10012.25,10014.25,-2.5,297,N/A
6/18/2020 23:00,10008.75,10019.75,10008.25,10016.75,8,767,N/A
6/18/2020 22:55,10006.75,10010.75,10005,10008.75,1,148,N/A
6/18/2020 22:50,10005.25,10008.5,10004,10007.75,1.75,156,N/A
6/18/2020 22:45,10005.75,10008.5,10003.25,10006,0.25,138,N/A
